policy,runid,outcome,survival_s,targets,pos_err_cm,yaw_err_deg,pelvis_speed_mps,head_speed_mps,s0_e_legs_upper_j,s0_e_legs_lower_j,s0_e_waist_j,s0_e_arms_upper_j,s0_e_arms_lower_j,s0_v_legs_upper_krads2,s0_v_legs_lower_krads2,s0_v_waist_krads2,s0_v_arms_upper_krads2,s0_v_arms_lower_krads2,s0_steps,s0_touchdown_mps,s0_peak_grf_bw,s1_e_legs_upper_j,s1_e_legs_lower_j,s1_e_waist_j,s1_e_arms_upper_j,s1_e_arms_lower_j,s1_v_legs_upper_krads2,s1_v_legs_lower_krads2,s1_v_waist_krads2,s1_v_arms_upper_krads2,s1_v_arms_lower_krads2,s1_steps,s1_touchdown_mps,s1_peak_grf_bw,s2_e_legs_upper_j,s2_e_legs_lower_j,s2_e_waist_j,s2_e_arms_upper_j,s2_e_arms_lower_j,s2_v_legs_upper_krads2,s2_v_legs_lower_krads2,s2_v_waist_krads2,s2_v_arms_upper_krads2,s2_v_arms_lower_krads2,s2_steps,s2_touchdown_mps,s2_peak_grf_bw,s3_e_legs_upper_j,s3_e_legs_lower_j,s3_e_waist_j,s3_e_arms_upper_j,s3_e_arms_lower_j,s3_v_legs_upper_krads2,s3_v_legs_lower_krads2,s3_v_waist_krads2,s3_v_arms_upper_krads2,s3_v_arms_lower_krads2,s3_steps,s3_touchdown_mps,s3_peak_grf_bw,s4_e_legs_upper_j,s4_e_legs_lower_j,s4_e_waist_j,s4_e_arms_upper_j,s4_e_arms_lower_j,s4_v_legs_upper_krads2,s4_v_legs_lower_krads2,s4_v_waist_krads2,s4_v_arms_upper_krads2,s4_v_arms_lower_krads2,s4_steps,s4_touchdown_mps,s4_peak_grf_bw,s5_e_legs_upper_j,s5_e_legs_lower_j,s5_e_waist_j,s5_e_arms_upper_j,s5_e_arms_lower_j,s5_v_legs_upper_krads2,s5_v_legs_lower_krads2,s5_v_waist_krads2,s5_v_arms_upper_krads2,s5_v_arms_lower_krads2,s5_steps,s5_touchdown_mps,s5_peak_grf_bw,s6_e_legs_upper_j,s6_e_legs_lower_j,s6_e_waist_j,s6_e_arms_upper_j,s6_e_arms_lower_j,s6_v_legs_upper_krads2,s6_v_legs_lower_krads2,s6_v_waist_krads2,s6_v_arms_upper_krads2,s6_v_arms_lower_krads2,s6_steps,s6_touchdown_mps,s6_peak_grf_bw,s7_e_legs_upper_j,s7_e_legs_lower_j,s7_e_waist_j,s7_e_arms_upper_j,s7_e_arms_lower_j,s7_v_legs_upper_krads2,s7_v_legs_lower_krads2,s7_v_waist_krads2,s7_v_arms_upper_krads2,s7_v_arms_lower_krads2,s7_steps,s7_touchdown_mps,s7_peak_grf_bw,s8_e_legs_upper_j,s8_e_legs_lower_j,s8_e_waist_j,s8_e_arms_upper_j,s8_e_arms_lower_j,s8_v_legs_upper_krads2,s8_v_legs_lower_krads2,s8_v_waist_krads2,s8_v_arms_upper_krads2,s8_v_arms_lower_krads2,s8_steps,s8_touchdown_mps,s8_peak_grf_bw,s9_e_legs_upper_j,s9_e_legs_lower_j,s9_e_waist_j,s9_e_arms_upper_j,s9_e_arms_lower_j,s9_v_legs_upper_krads2,s9_v_legs_lower_krads2,s9_v_waist_krads2,s9_v_arms_upper_krads2,s9_v_arms_lower_krads2,s9_steps,s9_touchdown_mps,s9_peak_grf_bw,s10_e_legs_upper_j,s10_e_legs_lower_j,s10_e_waist_j,s10_e_arms_upper_j,s10_e_arms_lower_j,s10_v_legs_upper_krads2,s10_v_legs_lower_krads2,s10_v_waist_krads2,s10_v_arms_upper_krads2,s10_v_arms_lower_krads2,s10_steps,s10_touchdown_mps,s10_peak_grf_bw,s11_e_legs_upper_j,s11_e_legs_lower_j,s11_e_waist_j,s11_e_arms_upper_j,s11_e_arms_lower_j,s11_v_legs_upper_krads2,s11_v_legs_lower_krads2,s11_v_waist_krads2,s11_v_arms_upper_krads2,s11_v_arms_lower_krads2,s11_steps,s11_touchdown_mps,s11_peak_grf_bw,s12_e_legs_upper_j,s12_e_legs_lower_j,s12_e_waist_j,s12_e_arms_upper_j,s12_e_arms_lower_j,s12_v_legs_upper_krads2,s12_v_legs_lower_krads2,s12_v_waist_krads2,s12_v_arms_upper_krads2,s12_v_arms_lower_krads2,s12_steps,s12_touchdown_mps,s12_peak_grf_bw,s13_e_legs_upper_j,s13_e_legs_lower_j,s13_e_waist_j,s13_e_arms_upper_j,s13_e_arms_lower_j,s13_v_legs_upper_krads2,s13_v_legs_lower_krads2,s13_v_waist_krads2,s13_v_arms_upper_krads2,s13_v_arms_lower_krads2,s13_steps,s13_touchdown_mps,s13_peak_grf_bw,s14_e_legs_upper_j,s14_e_legs_lower_j,s14_e_waist_j,s14_e_arms_upper_j,s14_e_arms_lower_j,s14_v_legs_upper_krads2,s14_v_legs_lower_krads2,s14_v_waist_krads2,s14_v_arms_upper_krads2,s14_v_arms_lower_krads2,s14_steps,s14_touchdown_mps,s14_peak_grf_bw,s15_e_legs_upper_j,s15_e_legs_lower_j,s15_e_waist_j,s15_e_arms_upper_j,s15_e_arms_lower_j,s15_v_legs_upper_krads2,s15_v_legs_lower_krads2,s15_v_waist_krads2,s15_v_arms_upper_krads2,s15_v_arms_lower_krads2,s15_steps,s15_touchdown_mps,s15_peak_grf_bw,s16_e_legs_upper_j,s16_e_legs_lower_j,s16_e_waist_j,s16_e_arms_upper_j,s16_e_arms_lower_j,s16_v_legs_upper_krads2,s16_v_legs_lower_krads2,s16_v_waist_krads2,s16_v_arms_upper_krads2,s16_v_arms_lower_krads2,s16_steps,s16_touchdown_mps,s16_peak_grf_bw,s17_e_legs_upper_j,s17_e_legs_lower_j,s17_e_waist_j,s17_e_arms_upper_j,s17_e_arms_lower_j,s17_v_legs_upper_krads2,s17_v_legs_lower_krads2,s17_v_waist_krads2,s17_v_arms_upper_krads2,s17_v_arms_lower_krads2,s17_steps,s17_touchdown_mps,s17_peak_grf_bw
gr00t_wbc_h066_p000,1024,complete,90,18,51.7763,6.86656,0.281649,0.295474,283.949,19.5433,8.29386,23.9767,2.39718,27.9465,11.9516,5.10045,10.2189,1.95573,18,0.486205,1.02362,237.286,13.0794,8.82526,20.3831,2.29894,22.7596,8.74216,3.76632,8.03314,1.82373,22,0.283716,0.649377,218.543,19.7811,8.61556,36.5824,2.38599,18.1431,8.89389,3.57068,8.68462,1.99709,24,0.318098,0.601531,300.617,16.4802,10.9535,23.9265,2.11481,24.5044,11.3211,4.2396,9.88772,1.61746,22,0.331909,0.708003,244.181,28.9898,8.48252,28.3507,1.89375,20.6552,11.5779,3.88604,8.39148,1.64586,19,0.341614,0.710786,411.11,44.5617,12.9358,29.6035,1.83787,33.3545,15.1007,5.93288,10.9208,2.54468,22,0.345283,0.881352,331.752,37.1572,10.3083,23.1986,1.50577,25.1086,12.4296,4.82416,9.04343,2.73053,21,0.354214,0.843365,489.267,43.3912,14.5612,34.7987,2.30805,33.4673,15.4031,5.37782,12.6285,2.58733,20,0.49894,1.04834,287.579,41.5674,22.8161,34.3068,1.77049,24.2495,12.8458,5.28728,11.1807,2.23632,25,0.322594,0.695435,277.99,37.0884,9.86259,24.1189,1.29407,19.579,11.7877,3.88523,9.04855,1.45494,19,0.416497,0.853833,778.168,119.683,60.2957,37.7613,1.17734,52.4955,27.1512,9.85173,21.34,2.82583,24,0.354762,1.11926,933.241,96.377,58.4969,110.5,3.5733,62.4389,25.0629,11.6309,29.4321,4.88856,27,0.323703,1.12565,555.888,58.937,25.1341,37.1191,1.56426,40.5391,20.836,7.67183,19.5807,3.31611,28,0.391644,0.989736,1332.55,115.803,31.1895,67.0736,2.99963,80.6205,30.9012,13.6918,31.3031,4.72343,28,0.499766,1.31177,712.523,104.745,25.326,65.0446,1.42982,49.3923,27.7443,7.7553,21.1215,3.09813,29,0.363627,1.08451,252.432,16.6672,9.52313,21.7893,2.14976,17.9517,11.2788,3.12565,8.05164,1.70359,19,0.419789,0.897057,961.636,82.5477,38.6898,104.784,3.47489,61.5922,30.1498,9.95291,27.9016,5.26257,26,0.309772,1.19394,394.188,41.1833,14.182,31.3355,0.996777,26.3071,14.9004,4.72109,11.7146,1.87619,19,0.384219,0.939068
gr00t_wbc_h066_p000,1025,complete,90,18,70.552,6.0316,0.246998,0.209341,305.754,30.0201,10.1277,19.5536,1.1537,29.3453,13.7675,5.81305,10.5268,1.40726,24,0.405558,0.854898,310.584,23.7064,9.74008,27.3188,1.90563,24.6573,11.2066,4.28724,9.08031,1.87904,30,0.258367,0.580808,336.593,49.0257,9.11062,24.462,1.08498,25.4615,14.5204,4.7156,9.14988,1.66094,22,0.361284,0.834869,365.156,32.9208,8.36368,21.4672,1.86323,28.1149,12.775,4.61205,8.27784,1.57645,26,0.296422,0.658698,335.723,42.9428,7.87865,15.1704,2.54374,25.0471,14.2235,4.31566,7.79434,1.79128,14,0.465908,1.19941,295.96,28.7056,10.849,21.6544,1.07106,27.5288,13.7935,5.02757,11.8791,1.68891,25,0.363693,0.798807,308.586,42.7728,7.26742,15.563,1.75327,27.538,11.8193,4.91696,11.2339,1.90024,24,0.274672,0.669321,465.444,34.416,14.4794,142.478,9.05831,32.8358,14.7488,6.06435,20.5517,6.99681,19,0.552257,0.809249,385.587,21.9266,10.1742,31.7641,1.54154,30.5821,12.7071,5.03952,10.1321,2.52129,29,0.259498,0.629172,354.717,39.5568,10.386,30.774,2.78764,31.8394,14.9949,5.60162,12.7093,2.1218,27,0.343766,0.874054,410.909,34.7007,11.2138,15.5512,2.15246,30.2395,14.662,5.80801,9.77534,2.01459,21,0.316064,0.840437,494.338,50.3562,12.9547,22.2828,3.07211,37.7556,16.6486,6.69885,14.2192,2.41914,27,0.350082,0.791161,814.303,72.6167,37.6541,201.045,14.2561,58.9803,28.581,10.0391,34.8322,7.95459,29,0.393462,1.12947,351.122,47.1138,11.4812,22.029,1.65538,30.988,16.0195,5.86694,11.6653,1.88384,27,0.271146,0.690947,412.625,41.8494,12.5625,36.9364,1.4487,31.878,14.1554,5.88046,14.6671,1.98331,26,0.31167,0.726616,662.386,155.029,19.2688,24.8773,1.96192,50.4276,31.5575,8.96931,16.4348,3.4914,31,0.52077,0.988715,968.492,154.644,23.6703,29.245,1.9238,66.6691,32.7652,11.9375,20.6514,2.57175,34,0.515878,1.16851,741.828,57.3981,28.6196,23.4192,2.51439,43.0429,17.7431,8.77605,15.2198,2.45852,21,0.363647,1.05936
gr00t_wbc_h066_p000,1026,fell,61.1,13,21.7046,8.01828,1.55159,0.323992,300.73,30.0066,8.94935,15.7099,2.5892,27.6375,12.8953,5.6002,8.73478,1.83228,26,0.310522,0.761715,198.565,7.23613,8.06205,18.3984,2.3299,18.817,8.46608,3.80205,7.11081,1.55497,21,0.319052,0.590773,168.158,27.0669,5.49616,19.3008,2.34609,12.0714,7.95683,2.23972,4.64251,1.09966,11,0.462994,0.947065,85.9758,11.7677,4.57583,11.7414,2.13427,7.90389,4.0821,1.90228,3.32761,1.11466,8,0.347427,0.800914,230.751,19.4311,7.76401,14.8366,1.43346,22.3169,9.80982,3.89738,6.58644,1.13496,25,0.256807,0.541026,270.525,28.8289,9.55849,22.0635,1.6332,22.596,11.7392,4.10211,8.23129,1.29814,24,0.28686,0.762133,375.823,62.7416,21.3251,56.8055,3.68305,30.8598,18.1388,5.82651,12.1572,3.39395,28,0.342342,0.720069,185.048,16.8199,12.0007,24.9524,2.4616,16.3072,8.53841,3.45107,6.78061,1.76192,21,0.28575,0.674233,265.154,32.0427,8.85326,20.0668,3.41713,20.2339,11.3272,3.81631,6.5737,1.73072,24,0.389198,0.729784,436.486,40.6434,29.7799,127.11,2.83946,35.6617,18.059,7.1598,17.2435,3.80544,29,0.227065,0.623663,299.884,33.5546,8.37894,26.1687,2.87193,24.7422,14.1793,4.6944,8.42449,2.42534,22,0.316784,0.741145,252.523,13.2981,9.55267,23.9867,1.66762,23.0176,10.28,3.59549,6.86945,1.64883,23,0.343651,0.606911,2605.39,330.835,279.351,228.853,32.7418,107.445,62.8679,32.0562,67.0249,27.9036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr00t_wbc_h066_p000,1027,complete,90,18,89.9275,6.14458,0.160384,0.124104,352.762,33.7845,8.115,17.5351,1.81646,31.6775,16.6885,5.41167,9.5892,1.57398,29,0.307839,0.777164,317.052,37.3908,12.7302,40.3261,2.6791,28.4851,13.3097,5.26674,10.6063,2.21222,29,0.239411,0.615855,561.9,77.8257,20.9511,123.735,5.40908,42.3046,22.9725,7.87913,24.1821,5.20489,26,0.419535,0.969648,262.421,21.1637,7.96642,20.2095,1.68557,25.4482,10.3592,4.47656,10.9985,1.652,26,0.322519,0.708425,339.057,22.86,10.1841,30.5117,1.88179,28.1437,10.9159,4.95529,11.879,1.88759,20,0.329321,0.778594,394.469,53.1052,12.5818,48.1496,2.09412,32.5982,15.2971,5.91745,15.5299,2.62104,23,0.378016,0.877395,1141.5,105.143,37.0828,32.1339,1.14476,71.9197,30.8713,12.9943,20.8407,2.74592,30,0.38808,1.14998,341.697,15.103,10.8029,89.4438,2.00812,27.4884,12.9615,4.8305,15.7131,2.6568,22,0.452617,1.02684,275.974,23.4489,9.77989,22.7226,2.31811,27.3015,11.6145,5.28816,8.3308,1.76006,25,0.310618,0.816253,259.819,42.9415,10.9206,16.6246,1.20036,25.1528,12.2232,4.82273,7.55724,1.5657,22,0.342267,0.903528,311.72,35.2787,18.0868,155.556,6.94812,25.2499,12.4671,5.3414,18.7546,5.79318,24,0.326333,0.757801,238.327,12.565,10.9103,20.4296,2.66738,19.3472,9.97387,3.28195,5.96638,1.61238,32,0.241992,0.521564,523.476,69.1818,16.4789,15.5394,1.63888,35.029,19.7769,6.35024,9.63409,2.87121,22,0.38543,0.940691,280.448,24.896,9.20969,17.405,1.70912,24.5383,12.3286,4.26353,6.59803,1.5758,25,0.310899,0.7799,1138.05,113.314,39.2716,177.201,20.7467,68.6458,32.3523,12.2498,36.4211,12.5522,29,0.415771,1.23701,660.024,63.273,16.8249,20.9711,1.92728,44.8033,19.2918,8.14175,14.1005,2.67112,25,0.369227,1.21154,274.731,15.7872,7.09401,23.6937,2.29482,24.1588,10.4838,3.94445,7.34506,1.75862,23,0.377049,0.818547,250.305,12.0958,12.4781,22.2925,2.17436,22.3178,9.26775,4.27294,8.07555,1.72382,26,0.278697,0.602086
gr00t_wbc_h066_p000,1028,complete,90,18,38.4958,8.13911,0.760156,0.823995,303.446,29.6965,8.20867,16.3097,1.86724,30.0747,17.3706,5.65705,9.73962,1.67573,28,0.33348,0.801392,317.072,34.9549,9.58453,19.3217,3.09762,26.6839,16.1805,4.75616,10.0932,1.74663,22,0.419473,0.903623,336.3,55.5531,12.1383,22.5108,1.16622,26.6475,15.9088,5.11306,9.37558,1.69312,24,0.357241,0.800717,277.413,27.3916,9.48551,21.7592,1.80822,23.9429,10.0761,4.00272,8.45523,1.47098,23,0.302688,0.646589,136.48,4.39331,8.2021,20.9428,1.81014,15.6676,6.95754,2.87881,6.21052,1.36975,27,0.234449,0.515843,177.709,4.3598,9.55121,21.6013,1.81838,20.1646,7.20491,3.4733,8.87041,1.70504,29,0.247727,0.396969,349.476,41.1227,12.6367,20.7181,2.23917,28.9634,14.8071,5.51844,11.3174,2.36558,16,0.604228,1.41483,660.414,68.9855,15.4681,65.5039,2.66942,47.843,24.687,7.383,17.8298,3.83637,29,0.456634,0.975889,260.426,20.0333,19.0313,134.772,5.11498,25.3766,10.4374,5.5246,17.2898,5.08342,24,0.288396,0.632937,455.603,40.417,12.4656,21.3363,1.63412,32.3229,15.7337,5.64734,12.2742,2.21858,19,0.368183,0.978101,323.078,34.887,14.2063,38.4899,1.79531,26.2723,13.3681,4.42216,12.6235,2.32724,21,0.290704,0.778384,241.374,27.6595,12.6811,133.141,3.87116,17.4632,8.85997,3.15448,21.152,3.35374,9,0.445125,0.726573,1175.51,173.67,43.1769,41.514,1.11306,69.2367,36.0193,11.3107,26.7823,3.64965,19,0.553133,1.2939,300.75,27.8237,13.9607,17.9338,1.93722,27.132,13.3861,5.35688,10.8173,1.65364,30,0.246872,0.575777,762.505,51.0192,28.8441,23.8604,2.2479,50.4421,19.634,8.63212,16.0456,3.22419,28,0.270948,0.843376,939.018,79.8118,27.7797,34.0986,2.41093,61.6537,26.8587,10.6875,17.1415,3.11566,24,0.312195,1.07946,840.293,51.2051,29.1967,28.3362,1.67373,51.0441,21.1786,9.50848,12.3261,3.01627,26,0.297982,1.04943,1338.13,353.561,45.0145,53.3248,1.4302,94.2407,62.3442,15.7563,26.9634,4.97306,25,0.398972,1.34652
gr00t_wbc_h066_p000,1029,complete,90,18,44.3539,6.87882,0.0759605,0.0710953,194.785,35.2126,7.38358,15.1075,2.38038,16.9991,11.3269,3.17739,7.09307,1.41472,10,0.604231,1.1741,556.101,69.8695,15.5522,33.0788,2.11257,39.3448,22.287,7.20735,12.8671,2.46737,27,0.357081,0.943887,223.104,21.7203,10.7759,28.4151,1.5501,18.1611,9.89157,3.55747,5.52309,1.57499,23,0.221472,0.560894,191.742,12.1339,8.46447,23.6575,2.10753,15.2453,7.47825,2.81206,5.6268,1.31004,24,0.233465,0.52305,122.163,13.2992,7.32101,22.6289,1.56947,11.5467,6.21544,2.21404,4.49233,1.19286,12,0.278142,0.610991,399.804,64.688,15.5323,36.2062,1.4889,28.0486,19.192,4.31775,9.19269,2.1585,24,0.411241,0.887327,282.517,22.5148,38.9226,52.7905,1.88735,23.939,9.95348,4.58443,13.2226,3.03386,24,0.25471,0.544932,634.572,112.378,18.5034,32.1441,1.33386,48.1876,29.1156,8.24791,13.0817,2.40411,25,0.371046,1.01117,699.108,49.3695,20.0526,37.8583,1.25079,41.1653,19.1906,7.22571,13.8225,2.31573,20,0.339882,0.915855,535.05,49.7831,21.95,23.1501,1.67884,36.1728,15.2869,6.09986,9.03973,2.06219,26,0.321521,0.757255,541.005,73.4937,19.3031,25.6835,1.75225,34.6858,20.0934,6.97249,9.71388,2.35887,22,0.305323,0.983123,449,28.8714,17.2676,22.363,2.17977,30.6199,13.4496,5.56549,7.31445,2.01379,17,0.362141,0.911154,187.233,28.4354,7.13968,14.2862,2.49691,12.764,8.39431,2.59136,4.15347,1.61628,18,0.260193,0.673753,114.215,7.32471,6.60402,19.635,2.22658,11.9694,6.46744,2.38236,4.46327,1.56947,21,0.149033,0.544814,472.442,34.1324,16.4387,26.7826,1.18387,33.4611,14.8786,6.11966,10.2293,2.01578,27,0.289181,0.758225,810.415,75.33,51.0164,40.5863,1.93721,53.6885,23.1292,10.5021,16.5781,3.31921,26,0.292877,0.805582,328.496,39.4966,11.2861,28.1721,1.26248,27.2657,14.0236,4.46714,9.14333,1.56281,22,0.361999,0.788978,287.548,26.4707,24.5509,92.4208,3.10524,19.9807,8.38591,3.93491,12.2796,3.36881,22,0.232701,0.597174
gr00t_wbc_h066_p000,1030,complete,90,18,23.4833,8.29813,0.0132029,0.0154387,338.269,44.745,9.91522,27.9,1.87571,30.3844,16.7335,5.65081,11.4794,2.37671,25,0.344624,0.910045,132.811,10.2982,6.53654,19.6953,1.67188,15.2784,7.33087,2.93645,5.76872,1.28222,27,0.207431,0.491321,272.331,19.7355,14.8267,89.7875,2.31349,24.0121,10.452,4.6108,12.2872,2.40695,20,0.341414,0.657949,643.342,76.5481,21.2855,41.6727,1.82675,43.9758,21.9202,7.36979,18.5237,2.86412,26,0.409359,1.12714,515.158,63.5171,15.2543,34.0149,1.95159,38.4019,20.4674,6.81309,16.1385,2.75589,29,0.345544,0.885415,284.166,26.4017,11.4697,52.2454,12.8017,23.1736,10.9797,4.35775,14.4361,9.01451,24,0.312729,0.746369,738.771,78.0222,25.6855,36.5994,2.17294,55.1067,24.3184,9.60189,22.3978,3.10646,23,0.393371,1.27007,595.01,63.2417,22.4651,69.688,1.85749,39.9291,20.5365,7.43488,16.7827,3.66686,21,0.448753,1.26978,366.526,51.118,15.436,26.6674,2.28379,31.0373,15.1807,6.15216,11.1657,2.24204,21,0.399962,0.864586,690.139,58.6467,27.6467,79.4922,3.97197,46.9668,19.0032,7.89051,18.3064,4.74496,24,0.387188,1.03765,537.996,60.9018,22.338,39.7927,1.83278,38.6538,20.7307,6.5154,11.5415,2.96683,25,0.393316,0.868074,643.595,66.93,41.5877,149.256,6.75178,44.7027,22.4924,8.91729,22.2396,6.17932,30,0.40032,0.932393,240.051,23.2631,10.6575,26.4821,2.72185,20.6807,12.6454,3.4963,8.29537,1.54134,18,0.383561,0.748653,293.651,63.1923,12.0509,22.4374,1.82585,19.6037,14.7621,3.86753,7.72997,1.27329,14,0.502596,1.10221,343.399,37.7074,16.5888,25.2633,2.07862,27.8638,13.0334,5.54791,9.77519,1.645,26,0.268997,0.67132,148.28,22.0807,7.86142,21.6179,1.59024,10.5404,7.64777,1.99245,5.429,1.12721,9,0.444784,1.09952,642.453,89.2578,30.9226,34.0554,1.90902,44.1161,23.3946,7.15605,16.8718,2.0902,23,0.436222,0.975838,225.421,23.4857,9.53497,23.675,1.92857,15.1101,9.60806,3.25854,7.64417,1.79963,9,0.369063,0.838015
gr00t_wbc_h066_p000,1031,complete,90,18,34.0527,6.48216,0.195883,0.221975,399.721,45.215,11.0917,17.1954,2.13021,33.8351,16.8403,6.21616,9.82984,2.13897,30,0.313614,0.731755,316.231,23.4754,11.9668,53.7906,2.44822,26.3216,13.7129,4.57056,11.9754,2.36173,23,0.363931,0.871907,434.687,30.0393,13.3271,19.5652,2.4548,32.8934,15.2427,5.64131,10.7328,2.10545,22,0.402823,0.907821,383.393,40.1747,13.1985,26.5027,1.33758,27.4409,13.875,5.28602,10.1608,1.76393,20,0.410762,0.951378,361.178,49.5217,22.7345,30.2703,2.62054,27.2662,15.4626,5.04696,9.25769,1.7316,23,0.37335,0.680618,512.688,35.9191,19.3169,37.8489,2.55102,33.4065,16.0407,6.47583,15.2167,2.99864,22,0.414565,0.904888,480.754,43.61,15.2068,23.9668,2.023,37.3385,15.6986,7.24567,13.8045,2.4043,27,0.362173,0.911648,332.579,23.9295,14.4566,26.6583,2.00877,27.6511,10.894,5.06816,12.0196,2.28455,23,0.301239,0.650256,304.678,38.2758,10.472,23.2821,1.44102,23.2419,14.5444,4.58366,10.2138,1.80088,18,0.344197,0.874352,369.439,57.4792,11.0499,33.155,1.77607,26.7706,16.2166,5.2655,10.8679,1.67381,23,0.308681,0.858576,432.083,70.8482,14.066,28.5238,1.40688,35.0362,19.6558,6.24227,13.3706,1.89577,25,0.420003,0.843734,227.083,13.7434,7.73393,25.8669,1.44178,17.6789,10.7066,3.11639,7.46106,1.35999,20,0.286538,0.55988,1006.22,127.959,73.5051,91.3252,2.34727,62.003,30.2525,11.4835,30.1122,4.74719,24,0.458744,1.14453,449.852,71.1771,54.3917,63.6721,2.25302,33.8028,20.044,6.26339,18.0076,3.04405,23,0.402671,1.00589,384.589,46.2473,13.1233,21.8385,1.90731,34.9817,16.1728,6.55627,13.553,1.62195,28,0.328436,0.75064,481.847,52.4547,15.1087,22.0483,1.25789,36.2492,18.7809,6.32123,15.7728,1.99886,26,0.377633,0.803167,429.896,46.9295,21.7165,140.686,11.8185,31.6032,16.7664,5.95928,21.5398,7.45317,23,0.441471,0.957505,358.624,35.7036,32.0544,259.77,11.6447,30.9496,15.9334,7.42406,41.9218,9.40435,25,0.313176,0.719267
gr00t_wbc_h066_p000,1032,complete,90,18,48.6958,7.64502,0.0938723,0.171889,205.714,16.0536,7.5747,18.3657,2.33835,22.2592,10.3986,4.24519,7.68539,1.46833,32,0.245356,0.519212,320.626,38.8456,8.61974,14.7212,1.31554,24.9378,13.5507,4.45049,9.97673,1.44751,25,0.299732,0.623624,218.733,25.6832,10.7174,29.2177,2.48476,18.7906,10.2622,3.57873,10.057,2.13456,25,0.331839,0.632516,405.646,48.2457,12.1537,46.6454,2.23777,31.4499,16.4885,4.91464,13.0446,2.52803,22,0.399069,0.82194,259.678,17.8287,11.1609,16.1645,2.36554,26.5099,10.2189,5.05675,10.2663,1.92008,25,0.357386,0.727608,413.486,37.8152,10.6894,18.1098,1.81404,35.632,17.4568,6.04982,12.8177,2.07846,29,0.289825,0.740939,703.64,61.1354,19.3507,23.246,3.38349,51.4517,19.2051,9.44624,19.0961,3.05183,29,0.349571,1.01156,607.107,64.3931,19.3848,66.662,3.20783,43.0563,21.4185,7.32516,16.5003,3.62731,34,0.300031,0.791482,319.511,25.1221,16.3683,78.542,10.7341,26.1226,11.7077,5.18088,11.7609,5.60436,28,0.260262,0.52696,527.711,67.9465,17.7887,41.789,2.06775,41.4102,18.1669,7.21123,13.1049,2.53141,31,0.372191,0.864706,346.126,39.7032,16.5348,29.9629,1.34888,31.3041,13.1758,5.94162,8.56511,1.85713,29,0.31272,0.647864,528.104,53.2597,18.5221,28.3501,1.89717,38.5268,17.5001,7.77811,9.95184,2.04488,24,0.333034,0.933508,425.764,47.3069,12.1744,27.4802,1.93961,32.5197,15.6692,5.58342,9.449,2.029,24,0.375649,0.909008,726.843,138.305,40.1655,31.5783,1.81906,49.7504,27.8966,9.88446,16.3229,3.021,23,0.388033,1.04829,411.703,61.8734,30.0935,98.5217,8.07046,35.2853,19.1741,6.54927,24.3706,5.95525,21,0.427547,0.913307,752.198,111.445,24.2166,46.8466,1.64238,50.6183,25.75,7.87445,16.1394,3.00071,25,0.410742,1.01564,603.298,78.2974,19.1927,78.0646,2.33208,42.2427,21.7685,6.74669,12.6374,2.76361,26,0.361565,0.868714,502.141,95.7564,19.2073,30.1989,3.21243,34.6894,20.8156,6.06226,13.2366,3.4027,23,0.490934,0.858319
gr00t_wbc_h066_p000,1033,fell,62.18,13,23.8288,20.5387,0.957559,1.09419,201.397,33.3769,9.03554,26.4151,1.76292,21.2753,13.6881,4.14001,9.42486,1.64905,26,0.296055,0.68737,259.584,24.458,10.3886,48.0941,2.25006,22.2632,12.9505,3.92794,12.1441,2.07468,22,0.307282,0.747548,682.432,89.0042,21.9135,57.8916,3.02081,51.6018,22.5658,8.67663,22.7951,3.99107,28,0.328853,1.11555,308.953,36.3188,8.39145,23.2641,1.37206,27.1672,13.9256,4.76322,12.1813,1.50976,26,0.300728,0.611958,558.578,116.424,20.9974,28.4683,1.83841,41.3454,26.1278,7.42573,15.5538,2.07625,20,0.422889,0.961204,200.276,8.53201,11.0593,26.2309,2.77498,17.7231,8.73084,3.15554,6.70216,1.43119,23,0.312361,0.635674,433.665,35.7769,18.1162,29.8907,2.54038,33.152,14.4201,6.00584,10.6092,2.1451,22,0.327031,0.860961,191.156,9.32486,8.76607,22.4596,2.20615,14.8411,7.6894,2.83756,6.09326,1.45195,24,0.157716,0.496215,633.335,121.053,43.4201,42.7949,2.04626,41.925,25.8385,7.77524,15.282,3.14939,23,0.362255,0.956755,445.005,81.4043,16.7605,24.7684,2.79608,34.6919,19.8758,6.40793,12.9965,2.55256,24,0.366091,0.861038,193.427,17.8474,17.203,66.2406,3.15796,17.0219,12.143,3.52801,9.32505,4.06879,23,0.251961,0.627912,193.462,16.4203,16.2778,56.5136,8.42964,18.2598,7.10822,3.61444,9.02169,5.16118,21,0.219854,0.542181,8122.85,722.701,371.966,336.546,28.6084,341.337,110.262,57.0554,114.52,44.9432,3,0.0527191,0.551611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
